"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 14 22:01:54 UTC 2026","Thu May 14 22:01:55 UTC 2026","802","","com.qaframework.api.tests.AuthTest","","com.qaframework.api.tests.AuthTest","validCredentialsReturnToken","Valid credentials return a non-empty auth token",""
"passed","Thu May 14 22:02:20 UTC 2026","Thu May 14 22:02:21 UTC 2026","800","","Inventory Management","","Sort by name ascending produces alphabetical order","","Sort by name ascending produces alphabetical order","  As a logged-in Saucedemo user
  I want to manage items and sort the product list
  So that I can find and control what is in my cart"
"passed","Thu May 14 22:01:52 UTC 2026","Thu May 14 22:01:54 UTC 2026","1763","","com.qaframework.ui.tests.LoginTest","","com.qaframework.ui.tests.LoginTest","standardUserCanLogIn","Standard user can log in and lands on the inventory page",""
"passed","Thu May 14 22:02:22 UTC 2026","Thu May 14 22:02:23 UTC 2026","763","","Authentication","","Named user logs in with explicit credentials","","Named user logs in with explicit credentials","  As a Saucedemo user
  I want to log in to the application
  So that I can access the product inventory"
"passed","Thu May 14 22:02:09 UTC 2026","Thu May 14 22:02:10 UTC 2026","505","","Booking CRUD","","Create a booking with custom check-in and check-out dates","","Create a booking with custom check-in and check-out dates","  As a restful-booker API consumer
  I want to manage hotel bookings
  So that I can create, read, update, and delete reservations"
"passed","Thu May 14 22:02:13 UTC 2026","Thu May 14 22:02:14 UTC 2026","1030","","Checkout","","Successful end-to-end checkout","","Successful end-to-end checkout","  As a logged-in Saucedemo user with items in my cart
  I want to complete a purchase
  So that my order is confirmed"
"passed","Thu May 14 22:01:54 UTC 2026","Thu May 14 22:01:55 UTC 2026","939","","com.qaframework.api.tests.BookingCrudTest","","com.qaframework.api.tests.BookingCrudTest","canUpdateBookingWithToken","PUT /booking/{id} with a valid token updates fields",""
"passed","Thu May 14 22:02:08 UTC 2026","Thu May 14 22:02:08 UTC 2026","684","","Booking CRUD","","Update a booking with a valid token","","Update a booking with a valid token","  As a restful-booker API consumer
  I want to manage hotel bookings
  So that I can create, read, update, and delete reservations"
"passed","Thu May 14 22:01:53 UTC 2026","Thu May 14 22:01:54 UTC 2026","912","","com.qaframework.api.tests.BookingCrudTest","","com.qaframework.api.tests.BookingCrudTest","createBookingReturnsId","POST /booking returns a booking ID and echoes the payload",""
"passed","Thu May 14 22:01:49 UTC 2026","Thu May 14 22:01:52 UTC 2026","2880","","com.qaframework.api.tests.BookingCrudTest","","com.qaframework.api.tests.BookingCrudTest","canDeleteBooking","DELETE /booking/{id} removes the booking",""
"passed","Thu May 14 22:02:17 UTC 2026","Thu May 14 22:02:18 UTC 2026","840","","Inventory Management","","Sorting products updates the displayed order","","Sorting products updates the displayed order","  As a logged-in Saucedemo user
  I want to manage items and sort the product list
  So that I can find and control what is in my cart"
"passed","Thu May 14 22:02:23 UTC 2026","Thu May 14 22:02:24 UTC 2026","727","","Authentication","","Invalid login attempts show the correct error","","Invalid login attempts show the correct error","  As a Saucedemo user
  I want to log in to the application
  So that I can access the product inventory"
"passed","Thu May 14 22:01:53 UTC 2026","Thu May 14 22:01:54 UTC 2026","1698","","com.qaframework.ui.tests.CartTest","","com.qaframework.ui.tests.CartTest","addingItemUpdatesBadge","Adding one item updates the cart badge to 1",""
"passed","Thu May 14 22:02:14 UTC 2026","Thu May 14 22:02:15 UTC 2026","976","","Checkout","","Missing postal code blocks checkout","","Missing postal code blocks checkout","  As a logged-in Saucedemo user with items in my cart
  I want to complete a purchase
  So that my order is confirmed"
"passed","Thu May 14 22:02:22 UTC 2026","Thu May 14 22:02:22 UTC 2026","772","","Authentication","","Standard user logs in successfully","","Standard user logs in successfully","  As a Saucedemo user
  I want to log in to the application
  So that I can access the product inventory"
"passed","Thu May 14 22:01:52 UTC 2026","Thu May 14 22:01:53 UTC 2026","1117","","com.qaframework.api.tests.BookingCrudTest","","com.qaframework.api.tests.BookingCrudTest","canReadCreatedBooking","GET /booking/{id} returns the booking we just created",""
